NodeID,NextNodeID,TotalCost
15,236,660.5079999999999
104,152,454.358
225,55,505.659
49,106,666.78
198,19,460.622
73,228,577.424
79,181,552.0559999999999
181,30,462.606
184,222,264.269
63,193,298.40599999999995
149,161,379.746
224,126,452.56699999999995
83,204,1071.9480000000003
28,113,540.636
216,117,369.437
105,148,892.225
215,182,468.68299999999994
159,144,267.79499999999996
218,175,516.3389999999999
221,201,213.902
99,216,411.873
203,99,494.067
230,213,209.787
202,70,827.589
162,235,501.72299999999996
139,135,559.6569999999999
236,186,604.968
188,146,667.634
82,165,301.021
114,229,179.888
144,88,258.39099999999996
163,138,466.963
170,221,426.42999999999995
84,169,73.747
55,19,461.039
210,222,300.568
124,233,424.91299999999995
88,114,229.14999999999998
219,74,201.905
43,74,319.595
193,158,258.924
94,185,325.866
138,200,401.84299999999996
115,207,528.4269999999999
19,200,413.526
77,84,160.53300000000002
211,147,680.562
178,169,159.154
146,45,623.575
137,130,613.5669999999999
39,13,543.161
133,154,565.156
164,125,530.082
220,87,80.126
60,1,229.802
235,109,468.005
187,225,549.0260000000001
136,150,525.703
42,143,964.679
101,177,455.14500000000004
44,56,589.3949999999999
158,230,223.455
102,9,622.13
26,29,609.187
81,194,256.668
40,69,852.2700000000001
48,27,665.2520000000001
194,213,221.199
167,73,606.392
176,203,616.879
118,87,84.307
78,2,716.2989999999999
67,200,385.49
22,145,767.371
69,95,793.3740000000001
30,10,379.074
106,26,642.859
135,150,526.569
166,24,750.0379999999999
72,176,668.754
130,115,570.8369999999999
131,42,1009.9499999999999
160,63,318.425
152,35,346.093
161,59,171.13
80,92,371.66099999999994
74,118,191.674
93,128,63.895
52,31,576.384
126,20,380.426
147,203,588.108
10,94,333.681
142,89,923.7229999999998
46,79,595.4949999999999
91,124,522.429
108,138,448.866
1,212,211.176
41,238,655.581
11,47,898.704
89,145,833.647
134,198,557.0319999999999
47,120,858.578
213,153,183.41
179,85,678.001
4,93,81.223
157,90,810.715
34,84,92.983
122,165,325.413
109,126,424.79599999999994
168,43,489.59600000000006
117,94,362.17800000000005
100,187,593.01
8,184,279.226
7,167,671.6
229,34,119.952
214,206,503.567
132,76,629.709
227,157,834.9320000000001
59,87,103.662
223,234,501.64799999999997
9,8,358.28499999999997
175,183,472.28
192,212,212.607
107,137,656.004
35,5,259.474
204,231,870.474
217,80,409.86699999999996
12,142,961.6759999999998
5,212,240.339
119,75,360.095
186,125,575.137
31,96,555.607
177,234,430.39900000000006
116,78,759.641
180,122,333.561
97,118,95.644
140,40,878.063
154,117,462.489
75,43,339.845
61,180,444.58200000000005
70,32,812.409
127,71,204.334
113,80,467.84599999999995
2,236,665.8979999999999
197,82,340.90000000000003
212,178,181.293
143,47,899.664
45,39,585.891
232,28,583.366
24,15,708.9419999999999
182,20,392.82899999999995
27,232,626.611
228,163,518.933
145,3,691.363
32,166,756.485
95,25,779.6749999999998
233,171,389.495
92,81,296.42999999999995
121,181,514.5289999999999
196,116,780.9060000000001
23,61,522.01
62,42,1053.9850000000001
205,215,536.66
86,48,707.1630000000001
209,61,451.711
150,154,501.438
96,162,525.366
206,37,395.507
98,186,649.5369999999999
189,121,520.664
3,109,515.9709999999999
173,107,697.995
208,144,322.28999999999996
222,153,225.33700000000002
53,92,334.635
21,63,346.94599999999997
111,164,655.3359999999999
90,176,717.678
29,177,526.034
50,40,886.419
155,101,547.5519999999999
65,133,572.2239999999999
51,105,939.1999999999999
112,115,615.7779999999999
199,113,506.48599999999993
238,139,581.918
129,192,242.49
141,155,599.4739999999999
85,100,636.994
148,120,870.033
36,85,678.835
66,9,442.272
165,127,226.402
125,101,488.986
37,201,287.762
200,37,341.937
171,159,297.09
153,93,134.244
231,226,771.129
71,77,180.317
13,221,489.88599999999997
185,165,279.58
33,185,364.607
64,211,730.5079999999999
54,4,101.244
226,44,627.0129999999999
57,41,693.051
234,117,399.512
14,82,336.961
195,65,601.3389999999999
237,53,373.897
20,171,373.59200000000004
76,210,416.89
25,57,742.8729999999999
56,79,567.9029999999999
183,67,429.549
58,205,573.472
207,182,459.59299999999996
120,102,832.2
