NodeID,PathIDs,TotalCost
505,505.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,946.5623035469795
6,6.0 27.0 41.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1568.690462318719
193,193.0 401.0 397.0 400.0 396.0 407.0 403.0 398.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1712.5205692143675
36,36.0 135.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1018.3939121064094
321,321.0 243.0 319.0 339.0 338.0 340.0 337.0 316.0 318.0 342.0 343.0 333.0 341.0 312.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1542.5995184317808
77,77.0 76.0 122.0 391.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1117.0538379692298
391,391.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,931.2233937024572
221,221.0 220.0 351.0 352.0 353.0 342.0 343.0 333.0 341.0 312.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1370.4769609056348
52,52.0 67.0 43.0 472.0 22.0 141.0 468.0 36.0 135.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1349.7020904190824
400,400.0 396.0 407.0 403.0 398.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1550.7229159383235
375,375.0 367.0 372.0 379.0 377.0 378.0 105.0 104.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,749.2289301786967
496,496.0 498.0 91.0 330.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1343.8711142077007
409,409.0 285.0 284.0,330.11353680379347
183,183.0 162.0 185.0 176.0 182.0 179.0 149.0 148.0 147.0 131.0 224.0 223.0 482.0 390.0 483.0 124.0 231.0 360.0 125.0 123.0 475.0 474.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1673.395461169503
135,135.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,830.6573684425117
327,327.0 326.0 328.0 311.0 81.0 312.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1297.8141295035434
145,145.0 216.0 222.0 254.0 219.0 353.0 342.0 343.0 333.0 341.0 312.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1421.4872918207382
90,90.0 505.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,958.2264879496341
67,67.0 43.0 472.0 22.0 141.0 468.0 36.0 135.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1302.2254253373121
179,179.0 149.0 148.0 147.0 131.0 224.0 223.0 482.0 390.0 483.0 124.0 231.0 360.0 125.0 123.0 475.0 474.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1457.0610325352263
449,449.0 450.0 191.0 193.0 401.0 397.0 400.0 396.0 407.0 403.0 398.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1818.1005024349486
